my_row_id,Zip_Code,Population,Median_Income,Median_Age,Bachelor_Degree,Total_Education_Population,Graduate_Professional_Degree,White_Alone,Black_Alone,Hispanic_Latino,Employment_Status,Unemployment,Total_Health_Insurance_Coverage,Without_Health_Insurance,Total_Pop_Poverty_Status,Below_Poverty_Level,Median_Home_Value,Median_Gross_Rent,Owner_Occupied_Units,Renter_Occupied_Units,Means_of_Transportation_to_Work,Total_Pop_Marital_Status,Married_Population,ZCTA
27595,78040,36727,33819,29.6,3802,20971,1441,17567,120,591,26647,879,36471,135,36218,12568,101100,853,4673,6765,274760,27270,6562,78040
27596,78041,47594,61696,31.4,4399,28171,2376,25183,485,2324,35702,1446,47048,306,46138,8708,194100,914,7854,7358,361845,36527,7150,78041
27597,78043,44443,54816,28.5,5094,24683,1672,22998,161,1120,32036,1770,44428,119,44370,12298,130200,956,6751,5873,351450,32811,7129,78043
27598,78044,397,,37.1,50,275,23,186,0,0,315,0,397,9,397,145,232400,,110,29,5055,324,30,78044
27599,78045,67686,85219,32.2,5786,39565,3875,37768,426,3017,48838,1170,67646,229,67588,4399,210700,1289,15689,4723,604620,50069,7317,78045
27600,78046,69422,51667,26.0,7822,36120,2297,39048,121,1655,47083,1756,68439,501,68316,18222,131900,984,13777,3775,682460,48620,10664,78046
27601,78050,713,92679,31.3,153,387,62,276,19,111,496,0,713,0,713,153,125000,,162,16,7790,532,88,78050
27602,78052,6339,69583,37.7,1238,4259,329,4779,0,2045,5097,275,6233,0,6228,842,142700,1022,1584,355,78350,5126,885,78052
27603,78055,2036,67560,55.8,498,1658,112,1607,44,1557,1820,35,2035,0,2033,409,215000,963,731,74,16935,1834,295,78055
27604,78056,2096,115885,42.4,189,1515,254,1645,0,1512,1668,3,2096,0,2096,18,469800,,701,71,30915,1715,110,78056
27605,78057,556,,48.6,44,440,13,518,7,441,440,4,556,0,556,97,,,173,0,,440,9,78057
27606,78058,871,98661,63.7,140,699,73,755,0,694,800,0,848,0,846,31,326500,,364,53,8095,800,61,78058
27607,78059,6106,72648,36.9,1192,3973,122,4025,8,1564,4812,79,6093,15,6106,354,154700,969,1799,209,61805,4933,681,78059
27608,78061,10892,45783,32.6,2144,6594,374,6639,243,1083,8601,159,9538,0,9538,2375,94000,817,1653,1318,76500,8649,2681,78061
27609,78062,0,,-666667000.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,78062
27610,78063,10309,78149,50.3,1849,7911,715,8325,73,7617,9025,450,10309,26,10309,1321,238200,915,3631,309,184745,9058,1284,78063
27611,78064,15969,71180,35.3,3127,9876,512,10879,268,6509,11816,587,15751,43,15618,1728,188900,1066,3813,1415,162055,11878,1858,78064
27612,78065,11741,59450,36.3,3103,7551,308,6318,193,1953,8882,189,11694,0,11536,1436,122500,917,2582,965,152895,9073,1878,78065
27613,78066,707,88532,68.3,238,682,199,674,0,217,682,0,707,0,707,24,172800,,344,12,,682,11,78066
27614,78067,811,69181,39.1,183,492,61,306,0,0,576,14,811,0,811,126,74900,,239,0,3545,630,106,78067
27615,78069,7124,73355,32.5,1769,4679,392,4704,3,1080,5902,154,7112,0,7116,931,96900,895,1886,238,98165,5998,879,78069
